question_id,is_correct,n_steps,depth,n_arithmetic,n_facts,n_conclude,frac_arithmetic,frac_facts,unsupported_arithmetic,unsupported_conclude,conclude_in_degree,max_out_degree,mean_out_degree,mean_in_degree,orphan_nodes
gsm-hard-b2-22,True,6,5,4,1,1,0.6666666666666666,0.16666666666666666,0,0,1,2,1.1666666666666667,1.1666666666666667,0
gsm-hard-b2-23,True,15,12,10,2,1,0.6666666666666666,0.13333333333333333,0,0,1,2,1.0,1.0,1
gsm-hard-b2-24,True,8,7,5,2,1,0.625,0.25,0,0,1,1,0.875,0.875,0
gsm-hard-b2-25,False,7,3,2,3,1,0.2857142857142857,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-b2-26,True,7,3,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,2,1.0,1.0,1
gsm-hard-b2-27,False,8,3,4,3,1,0.5,0.375,0,0,1,3,1.125,1.125,2
gsm-hard-b2-28,True,6,5,4,1,1,0.6666666666666666,0.16666666666666666,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-29,True,9,5,3,3,1,0.3333333333333333,0.3333333333333333,1,0,1,1,0.7777777777777778,0.7777777777777778,1
gsm-hard-b2-30,True,9,4,3,4,1,0.3333333333333333,0.4444444444444444,0,0,2,2,1.0,1.0,0
gsm-hard-b2-31,True,5,3,2,1,1,0.4,0.2,0,0,1,2,0.8,0.8,1
gsm-hard-b2-32,True,8,5,4,3,1,0.5,0.375,0,0,1,2,1.125,1.125,0
gsm-hard-b2-33,True,8,5,3,3,1,0.375,0.375,0,0,1,2,1.0,1.0,0
gsm-hard-b2-34,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-35,True,4,2,2,1,1,0.5,0.25,1,0,1,1,0.75,0.75,0
gsm-hard-b2-36,False,8,4,2,3,1,0.25,0.375,0,0,3,2,1.25,1.25,0
gsm-hard-b2-37,True,8,5,3,3,1,0.375,0.375,0,0,2,2,1.0,1.0,0
gsm-hard-b2-38,True,6,3,3,2,1,0.5,0.3333333333333333,0,0,1,1,0.8333333333333334,0.8333333333333334,0
